stream_id,dataset_path,schema_version,record_key,transport,cadence,retention,timestamp_policy,null_policy,provenance_columns,source_columns,derived_from,publication_surfaces
acx.activities,activities.csv,acx.activities/1-0-0,activity_id,repository-csv,release-gated,git-history,none,blank,activity_id=structural|sector_id=structural|layer_id=structural|category=structural|name=external|default_unit=structural|description=external|unit_definition=external|notes=external,,,web-calculator|web-catalog|derive|package
acx.activity-functional-units,activity_fu_map.csv,acx.activity-functional-units/1-0-0,activity_id|functional_unit_id,repository-csv,release-gated,git-history,none,blank,activity_id=structural|functional_unit_id=structural|conversion_formula=structural|assumption_notes=structural,,,derive|web-calculator|web-catalog|package
acx.activity-schedule,activity_schedule.csv,acx.activity-schedule/1-0-0,profile_id|activity_id|layer_id,repository-csv,release-gated,git-history,none,blank,profile_id=structural|sector_id=structural|activity_id=structural|layer_id=structural|freq_per_day=modelled|freq_per_week=modelled|office_days_only=modelled|region_override=modelled|schedule_notes=modelled|distance_km=modelled|passengers=modelled|hours=modelled|viewers=modelled|servings=modelled,schedule_notes,,derive|web-calculator|web-catalog|package
acx.assets,assets.csv,acx.assets/1-0-0,asset_id,repository-csv,release-gated,git-history,none,blank,asset_id=structural|site_id=structural|asset_type=structural|name=external|year=external|power_rating_kw=external|fuel_type=external|notes=external,,,derive|web-catalog|package
acx.benchmarks,benchmarks.csv,acx.benchmarks/1-0-0,key,repository-csv,release-gated,git-history,none,blank,key=structural|label=external|scope=structural|region_code=structural|total_mt=external|population_millions=external|per_capita_tonnes=derived|year=external|source_id=structural|population_source_id=structural|notes=external|accounting_basis=structural|land_use_change=structural,source_id|population_source_id,benchmarks.csv:total_mt|benchmarks.csv:population_millions,web-calculator|web-catalog|web-sources|package
acx.carbon-pricing,carbon_pricing.csv,acx.carbon-pricing/1-0-0,jurisdiction|year|scheme_type,repository-csv,release-gated,git-history,none,blank,jurisdiction=structural|price_usd_per_tonne=external|currency=structural|price_local=external|year=external|source_id=structural|notes=external|scheme_type=structural,source_id,,web-catalog|web-sources|package
acx.dependencies,dependencies.csv,acx.dependencies/1-0-0,child_activity_id|parent_operation_id,repository-csv,release-gated,git-history,none,blank,child_activity_id=structural|parent_operation_id=structural|share=modelled|notes=modelled,notes,,derive|web-catalog|package
acx.emission-factors,emission_factors.csv,acx.emission-factors/1-0-0,ef_id,repository-csv,release-gated,git-history,none,blank,ef_id=structural|sector_id=structural|activity_id=structural|layer_id=structural|unit=structural|value_g_per_unit=external|is_grid_indexed=structural|electricity_kwh_per_unit=external|electricity_kwh_per_unit_low=external|electricity_kwh_per_unit_high=external|region=external|scope_boundary=external|gwp_horizon=external|vintage_year=external|source_id=structural|method_notes=modelled|uncert_low_g_per_unit=external|uncert_high_g_per_unit=external,source_id|method_notes,emission_factors.csv:electricity_kwh_per_unit|grid_intensity.csv:g_per_kwh,derive|web-calculator|web-catalog|web-sources|package
acx.entities,entities.csv,acx.entities/1-0-0,entity_id,repository-csv,release-gated,git-history,none,blank,entity_id=structural|name=external|type=structural|parent_entity_id=structural|notes=external,,,derive|web-catalog|package
acx.equity-benchmarks,equity_benchmarks.csv,acx.equity-benchmarks/1-0-0,entity_id|year,repository-csv,release-gated,git-history,none,blank,entity_id=structural|entity_name=external|entity_type=structural|iso_code=structural|population_millions=external|co2_per_capita_tonnes=derived|co2_total_mt=external|consumption_co2_per_capita=derived|production_co2_per_capita=derived|year=external|source_id=structural|notes=external,source_id,equity_benchmarks.csv:co2_total_mt|equity_benchmarks.csv:population_millions,web-catalog|web-sources|package
