table,row_id,layer_id,action,source_id,notes,status
emission_factors,EF.AI.IMAGE.GENERATION.PROMPT,online,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.CLOUD.STORAGE.SYNC.GB_MONTH,online,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.CONF.AUDIO.PER_PARTICIPANT_HOUR,online,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.DOWNLOAD.GAME.CONSOLE.50GB,online,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.IND_HEAVY.CEMENT.CLINKER.TONNE,industrial_heavy,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.IND_HEAVY.MINING.HAUL.TRUCK.HOUR,industrial_heavy,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.IND_HEAVY.REFINING.FIRED_UNIT.MMBTU,industrial_heavy,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.IND_HEAVY.STEEL.EAF.TONNE,industrial_heavy,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.IND_LIGHT.CONSTRUCTION.SITE_DAY,industrial_light,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.IND_LIGHT.LOGISTICS.FORKLIFT.HOUR,industrial_light,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.IND_LIGHT.WAREHOUSE.BASE_LOAD.SQFT_MONTH,industrial_light,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
emission_factors,EF.MEDIA.STREAM.SD.HOUR.MOBILE,online,offline_seed,SRC.ACX006.CA.V1_1,"ACX006 offline seed using provisional intensity profile.",pending
