child_activity_id,parent_operation_id,share,notes
TRAN.SCHOOLRUN.CAR.KM,OP.SHELL.GASOLINE2024,1.0,Fuel supply; Modelled allocation assumption; methodology source: SRC.NRCAN.FREIGHT.2024.
TRAN.TTC.SUBWAY.KM,OP.HYDROONE.KWH2024,1.0,Traction electricity; Modelled allocation assumption; methodology source: SRC.NRCAN.FREIGHT.2024.
MEDIA.STREAM.HD.HOUR,OP.YOUTUBE.HD.HOUR2025,0.3,Platform infrastructure; Modelled allocation assumption; methodology source: SRC.DIMPACT.STREAMING.2022.
MEDIA.STREAM.HD.HOUR,OP.HYDROONE.KWH2024,0.7,Playback & network electricity; Modelled allocation assumption; methodology source: SRC.DIMPACT.STREAMING.2022.
SOCIAL.YOUTUBE.HOUR,OP.HYDROONE.KWH2024,1.0,User device & network electricity; Modelled allocation assumption; methodology source: SRC.DIMPACT.STREAMING.2022.
SOCIAL.INSTAGRAM.HOUR,OP.HYDROONE.KWH2024,1.0,User device & network electricity; Modelled allocation assumption; methodology source: SRC.DIMPACT.STREAMING.2022.
SOCIAL.TWITTER.HOUR,OP.HYDROONE.KWH2024,1.0,User device & network electricity; Modelled allocation assumption; methodology source: SRC.DIMPACT.STREAMING.2022.
SOCIAL.LINKEDIN.HOUR,OP.HYDROONE.KWH2024,1.0,User device & network electricity; Modelled allocation assumption; methodology source: SRC.DIMPACT.STREAMING.2022.
CLOTHING.TSHIRT.COTTON,OP.CNRAIL.CA.TRUCK_TONNEKM.2024,0.15,Inbound freight tonne-km; Modelled allocation assumption; methodology source: SRC.QUANTIS2018.
CLOTHING.TSHIRT.COTTON,OP.AMAZON.CA.URBAN_PARCEL.2024,0.05,Last-mile parcel delivery; Modelled allocation assumption; methodology source: SRC.QUANTIS2018.
CLOTHING.JEANS.DENIM,OP.CNRAIL.CA.TRUCK_TONNEKM.2024,0.15,Inbound freight tonne-km; Modelled allocation assumption; methodology source: SRC.QUANTIS2018.
CLOTHING.JEANS.DENIM,OP.AMAZON.CA.URBAN_PARCEL.2024,0.05,Last-mile parcel delivery; Modelled allocation assumption; methodology source: SRC.QUANTIS2018.
CLOTHING.JACKET.SYNTH,OP.CNRAIL.CA.TRUCK_TONNEKM.2024,0.15,Inbound freight tonne-km; Modelled allocation assumption; methodology source: SRC.QUANTIS2018.
CLOTHING.JACKET.SYNTH,OP.AMAZON.CA.URBAN_PARCEL.2024,0.05,Last-mile parcel delivery; Modelled allocation assumption; methodology source: SRC.QUANTIS2018.
CLOTHING.SHOES.SNEAKERS,OP.CNRAIL.CA.TRUCK_TONNEKM.2024,0.15,Inbound freight tonne-km; Modelled allocation assumption; methodology source: SRC.QUANTIS2018.
CLOTHING.SHOES.SNEAKERS,OP.AMAZON.CA.URBAN_PARCEL.2024,0.05,Last-mile parcel delivery; Modelled allocation assumption; methodology source: SRC.QUANTIS2018.
