entity_id,name,type,parent_entity_id,notes
ENTITY.COKE.CA,Coca-Cola Canada,corporate,,Demo rows for comparison
ENTITY.HYDROONE.CA,Hydro One,corporate,,
ENTITY.ENBRIDGE.CA,Enbridge,corporate,,
ENTITY.SHELL.CA,Shell Canada,corporate,,
ENTITY.GOOGLE.US,Google LLC,corporate,,Parent for YouTube platform and Gemini inference operations
ENTITY.META.US,Meta Platforms Inc.,corporate,,Parent for Instagram platform operations
ENTITY.BYTEDANCE.CN,ByteDance Ltd.,corporate,,Parent for TikTok platform operations
ENTITY.OPENAI.US,OpenAI,corporate,,Provider of GPT inference services
ENTITY.ANTHROPIC.US,Anthropic PBC,corporate,,Provider of Claude inference services
ENTITY.AIRCANADA.CA,Air Canada,corporate,,Flag carrier and largest airline in Canada
ENTITY.WESTJET.CA,WestJet,corporate,,Major Canadian airline focused on domestic and transborder routes
ENTITY.TORONTO.WASTE,City of Toronto Solid Waste Management Services,municipal,,Municipal residual waste and recycling utility for Toronto households and businesses
ENTITY.TORONTO.WATER,Toronto Water,municipal,,City-owned water treatment and distribution utility for Toronto
ENTITY.LAFARGE.CA,Lafarge Canada,corporate,,Major Canadian cement producer with integrated clinker facilities.
ENTITY.ARCELORMITTAL.CA,ArcelorMittal Dofasco,corporate,,Integrated steelmaker producing crude slabs in Ontario.
ENTITY.NOVA.CHEM.CA,NOVA Chemicals,corporate,,Canadian petrochemicals producer with PET resin operations.
ENTITY.MAPLELEAF.CA,Maple Leaf Foods,corporate,,Canadian meat and poultry processor operating national brands.
ENTITY.CARGILL.CA,Cargill Meat Solutions (Canada),corporate,,Canadian beef processor operating High River plant.
ENTITY.NESTLE.CA,Nestlé Canada,corporate,,Canadian packaged food company with coffee processing operations.
ENTITY.AMAZON.CA,Amazon Canada Fulfillment Services,corporate,,Canadian e-commerce logistics subsidiary handling national fulfillment and delivery.
ENTITY.FEDEX.CA,FedEx Express Canada,corporate,,Express parcel and freight carrier serving Canadian markets.
ENTITY.CNRAIL.CA,Canadian National Railway,corporate,,National freight railway with intermodal trucking and logistics services.
