scenario_id,activity_id,provider_id,service_id,model_id,model_version,model_generation,generation_mode,modality,functional_unit,token_basis,workload_profile_id,input_tokens,output_tokens,reasoning_tokens,hidden_reasoning_disclosure,batch_size,serving_context,energy_wh,energy_wh_low,energy_wh_high,scope_boundary,pue_treatment,carbon_accounting_method,carbon_g_per_unit,carbon_low_g_per_unit,carbon_high_g_per_unit,energy_components,carbon_components,grid_intensity_g_per_kwh,grid_region,grid_vintage_year,service_region,width_px,height_px,frames,fps,denoising_steps,duration_seconds,audio_included,source_id,source_role,source_locator,vintage_year,retrieved_at,uncertainty,publication_status,notes
SCN.OPENAI.CHATGPT.PROMPT.2025,AI.USAGE.LLM.SCENARIO,OpenAI,ChatGPT,not disclosed,not disclosed,2025,ordinary text generation,text,prompt,not disclosed,provider-average-prompt,,,,not disclosed,1,consumer/provider average query,0.34,,,"Provider-reported average prompt/query; workload, model, serving stack, PUE, region, and accounting boundary not disclosed",not disclosed,,,,,,,,,,,,,,,,,,SRC.ALTMAN.2025,provider statement,paragraph reporting average query energy,2025,2026-08-17,,estimate,Provider-reported prompt observation; not a token-normalized factor
SCN.GOOGLE.GEMINI.APPS.PROMPT.2025,AI.USAGE.LLM.SCENARIO,Google,Gemini Apps,Gemini Apps,not disclosed,2025,ordinary text generation,text,prompt,median text prompt,provider-median-prompt,,,,not disclosed,1,comprehensive serving,0.24,,,"Comprehensive serving: accelerator, host CPU/DRAM, provisioned idle capacity, and data-centre overhead",Included in comprehensive serving estimate,direct-disclosure,0.03,,,"[{""name"": ""active AI accelerators"", ""valueWh"": 0.14}, {""name"": ""active CPU and DRAM"", ""valueWh"": 0.06}, {""name"": ""provisioned idle machines"", ""valueWh"": 0.02}, {""name"": ""data-centre overhead"", ""valueWh"": 0.02}]","[{""name"": ""Scope 2"", ""valueGCO2e"": 0.023, ""basis"": ""market-based""}, {""name"": ""Scope 1 and 3"", ""valueGCO2e"": 0.01, ""basis"": ""direct disclosure""}]",,,,,,,,,,,,SRC.ELSWORTH.GOOGLE.2025,first-party production instrumentation,Table 1; median Gemini Apps text prompt in May 2025,2025,2026-08-17,,published,"Energy and emissions are prompt-distribution statistics, not fixed token costs"
SCN.JEGHAM.GPT41.100+300,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,GPT-4.1,not disclosed,2025,ordinary text generation,text,response,100_input+300_output_tokens,jegham-100+300,100,300,,not disclosed,1,inferred production-style serving,0.918,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 100+300 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.GPT41NANO.100+300,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,GPT-4.1 nano,not disclosed,2025,ordinary text generation,text,response,100_input+300_output_tokens,jegham-100+300,100,300,,not disclosed,1,inferred production-style serving,0.103,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 100+300 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.O3.100+300,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,o3,not disclosed,2025,ordinary text generation,text,response,100_input+300_output_tokens,jegham-100+300,100,300,,not disclosed,1,inferred production-style serving,7.026,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 100+300 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.DEEPSEEKR1.100+300,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,DeepSeek-R1,not disclosed,2025,ordinary text generation,text,response,100_input+300_output_tokens,jegham-100+300,100,300,,not disclosed,1,inferred production-style serving,23.815,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 100+300 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.CLAUDE37SONNET.100+300,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,Claude 3.7 Sonnet,not disclosed,2025,ordinary text generation,text,response,100_input+300_output_tokens,jegham-100+300,100,300,,not disclosed,1,inferred production-style serving,0.836,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 100+300 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.CLAUDE37SONNETET.100+300,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,Claude 3.7 Sonnet ET,not disclosed,2025,extended-thinking text generation,text,response,100_input+300_output_tokens,jegham-100+300,100,300,not disclosed,not disclosed,1,inferred production-style serving,3.49,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 100+300 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.GPT41.1000+1000,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,GPT-4.1,not disclosed,2025,ordinary text generation,text,response,1000_input+1000_output_tokens,jegham-1000+1000,1000,1000,,not disclosed,1,inferred production-style serving,2.513,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 1000+1000 input + output tokens,2025,2026-08-17,"{""type"": ""standard-deviation"", ""valueWh"": 1.286}",estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.GPT41NANO.1000+1000,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,GPT-4.1 nano,not disclosed,2025,ordinary text generation,text,response,1000_input+1000_output_tokens,jegham-1000+1000,1000,1000,,not disclosed,1,inferred production-style serving,0.271,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 1000+1000 input + output tokens,2025,2026-08-17,"{""type"": ""standard-deviation"", ""valueWh"": 0.087}",estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
